"항목",2025,2025,2025,2025,2025
"항목",경복궁,창덕궁,창경궁,덕수궁,종묘
"일평균",18868,6079,4382,9833,2087
"합계",6886650,2218701,1599409,3588880,761625
"내국인",4102652,1553354,1330127,3210811,633181
"외국인",2783998,665347,269282,378069,128444
